id,question,slug,start_date,end_date,volume,liquidity,active,closed,outcomes,outcomePrices,clobTokenIds,fpmmLive,competitive,approved,spread,bestBid,bestAsk,outcome_1,price_1,outcome_2,price_2,outcome_3,price_3,yes_percentage,no_percentage,outcome_details,total_volume,total_volume,total_liquidity,total_liquidity,end_date_iso,end_date_iso,volume_24hr,volume_24hr,spread.1,one_day_price_change,one_day_price_change,last_trade_price,last_trade_price,bestBid.1,bestAsk.1,yes_percentage,no_percentage,outcome_details,total_volume,total_volume,total_liquidity,total_liquidity,end_date_iso,end_date_iso,volume_24hr,volume_24hr,spread,one_day_price_change,one_day_price_change,last_trade_price,last_trade_price,bestBid,bestAsk
75,"Will the Ethereum 2.0 Genesis Event happen successfully on December 1st, 2020?",will-the-ethereum-20-genesis-event-happen-successfully-on-december-1st-2020,,2020-12-02T00:00:00Z,560270.423771,7.877976,True,True,"[""Yes"", ""No""]","[""0.9999991353509498666949062749530927"", ""0.0000008646490501333050937250469073407429""]","[""77627371401939105002385145056688905915571707561396568073129144307944860669891"", ""37298673187595158731518988511507524825725270207480860813825460647761688797840""]",True,0,True,1,0,1,Yes,99.999913535095,No,8.64649050133305e-05,,,99.99991353509499,8.64649050133305e-05,Yes: 100.00% | No: 0.00%,560270.42,560270.42,7.88,7.88,2022-01-16,2022-01-16,0.0,0,1.0,0.0,0,0.0,0,0.0,1.0,99.99991353509499,8.64649050133305e-05,Yes: 100.00% | No: 0.00%,560270.42,560270.42,7.88,7.88,2022-01-16,2022-01-16,0.0,0,1,0.0,0,0.0,0,0,1
8938,"Will ETH be above $1,500 on January 27th?",will-eth-be-above-1-500-on-january-27th,,2021-01-28T00:00:00Z,759196.237185,0.000068,True,True,"[""Yes"", ""No""]","[""0.000003699057329343540231498080957617439"", ""0.9999963009426706564597685019190424""]","[""32737818253260269261332562813586096523436063375842871188338045857915012459432"", ""111221966774122168566390445601500003662811039169447032775193041836929076999541""]",True,0,True,1,0,1,Yes,0.0003699057329343,No,99.99963009426706,,,0.000369905732934354,99.99963009426706,Yes: 0.00% | No: 100.00%,759196.24,759196.24,0.0,0,,,0.0,0,1.0,0.0,0,0.0,0,0.0,1.0,0.000369905732934354,99.99963009426706,Yes: 0.00% | No: 100.00%,759196.24,759196.24,0.0,0,,,0.0,0,1,0.0,0,0.0,0,0,1
61328,"Will ETH be above $1500 on February 3rd, 2021?",will-eth-be-above-1500-on-february-3rd-2021,,2021-02-03T00:00:00Z,685915.482763,0.007484,True,True,"[""Yes"", ""No""]","[""0.999996226890886669311393154150165"", ""0.000003773109113330688606845849835010651""]","[""75620162181471737772283611994516646097641193875830453677269016571908686842157"", ""112859647995320986767865348662221691402541678961662287373880205928684553766750""]",True,0,True,1,0,1,Yes,99.99962268908868,No,0.000377310911333,,,99.99962268908867,0.00037731091133306886,Yes: 100.00% | No: 0.00%,685915.48,685915.48,0.01,0.01,2021-02-03,2021-02-03,0.0,0,1.0,0.0,0,0.0,0,0.0,1.0,99.99962268908867,0.00037731091133306886,Yes: 100.00% | No: 0.00%,685915.48,685915.48,0.01,0.01,2021-02-03,2021-02-03,0.0,0,1,0.0,0,0.0,0,0,1
71914,"Will ETH be above $2000 on March 1st, 2021?",will-eth-be-above-2000-on-march-1st-2021,,2021-03-01T00:00:00Z,747989.597477,20.479524,True,True,"[""Yes"", ""No""]","[""0.0000008593621343575976922765720391969978"", ""0.9999991406378656424023077234279608""]","[""39559550119062678386585700526023445432100867206170065053446322623044110183799"", ""82814968724932554815793117921702553681133008126189895797014521160556656566267""]",True,0,True,1,0,1,Yes,8.593621343575976e-05,No,99.99991406378656,,,8.593621343575976e-05,99.99991406378656,Yes: 0.00% | No: 100.00%,747989.6,747989.6,20.48,20.48,,,0.0,0,1.0,0.0,0,0.0,0,0.0,1.0,8.593621343575976e-05,99.99991406378656,Yes: 0.00% | No: 100.00%,747989.6,747989.6,20.48,20.48,,,0.0,0,1,0.0,0,0.0,0,0,1
79704,Will the average Ethereum gas price be below 165 Gwei on February 16?,will-the-average-ethereum-gas-price-be-below-165-gwei-on-february-16,,2021-02-16T00:00:00Z,94610.612709,1.000552,True,True,"[""Yes"", ""No""]","[""0.0000002750280825126683812750756679118423"", ""0.9999997249719174873316187249243321""]","[""18224193740300193297293053761306206778709605497962968080818936059309533931858"", ""104738577736382678728466576316511669312860569164800977155310206751190118972741""]",True,0,True,1,0,1,Yes,2.750280825126684e-05,No,99.99997249719176,,,2.7502808251266837e-05,99.99997249719175,Yes: 0.00% | No: 100.00%,94610.61,94610.61,1.0,1,2021-02-16,2021-02-16,0.0,0,1.0,0.0,0,0.0,0,0.0,1.0,2.7502808251266837e-05,99.99997249719175,Yes: 0.00% | No: 100.00%,94610.61,94610.61,1.0,1,2021-02-16,2021-02-16,0.0,0,1,0.0,0,0.0,0,0,1
98033,"Will ETH be above $2000 on April 1st, 2021?",will-eth-be-above-2000-on-april-1st-2021,,2021-04-01T00:00:00Z,200394.992845,0.001258,True,True,"[""Yes"", ""No""]","[""0.0000000908007709769385093842243091312258"", ""0.9999999091992290230614906157756909""]","[""67233953506371535247692815144209950706346120505807496204717545677239645452382"", ""74936550845416099345411161031894622018493143136524098854497398915559460221146""]",True,0,True,1,0,1,Yes,9.080077097693851e-06,No,99.9999909199229,,,9.080077097693851e-06,99.9999909199229,Yes: 0.00% | No: 100.00%,200394.99,200394.99,0.0,0,,,0.0,0,1.0,0.0,0,0.0,0,0.0,1.0,9.080077097693851e-06,99.9999909199229,Yes: 0.00% | No: 100.00%,200394.99,200394.99,0.0,0,,,0.0,0,1,0.0,0,0.0,0,0,1
98685,"Will ETH be above $1500 on March 7th, 2021?",will-eth-be-above-1500-on-march-7th-2021,,2021-03-07T00:00:00Z,451637.387898,1.677828,True,True,"[""Yes"", ""No""]","[""0.9999984616737544118241275764692422"", ""0.000001538326245588175872423530757779516""]","[""107247347763844638441173136954038597229474281063803667060701927901656827673710"", ""58246463588108495758763182151848054816683429220340819559529629141784404139303""]",True,0,True,1,0,1,Yes,99.99984616737544,No,0.0001538326245588,,,99.99984616737544,0.00015383262455881757,Yes: 100.00% | No: 0.00%,451637.39,451637.39,1.68,1.68,2021-03-07,2021-03-07,0.0,0,1.0,0.0,0,0.0,0,0.0,1.0,99.99984616737544,0.00015383262455881757,Yes: 100.00% | No: 0.00%,451637.39,451637.39,1.68,1.68,2021-03-07,2021-03-07,0.0,0,1,0.0,0,0.0,0,0,1
101793,"Will ETH be above $1750 on March 22nd, 2021?",will-eth-be-above-1750-on-march-22nd-2021-1,,2021-03-22T00:00:00Z,354495.504639,100.044566,True,True,"[""Yes"", ""No""]","[""0.999999904591707420121013984282975"", ""0.00000009540829257987898601571702503347372""]","[""15537139397241036240951551252916204658446536382225482331824020270556155152171"", ""37342569250933761685088017532656109542490275543637320261521002581903218232125""]",True,0,True,1,0,1,Yes,99.99999045917076,No,9.5408292579879e-06,,,99.99999045917075,9.540829257987899e-06,Yes: 100.00% | No: 0.00%,354495.5,354495.5,100.04,100.04,2021-03-22,2021-03-22,0.0,0,1.0,0.0,0,0.0,0,0.0,1.0,99.99999045917075,9.540829257987899e-06,Yes: 100.00% | No: 0.00%,354495.5,354495.5,100.04,100.04,2021-03-22,2021-03-22,0.0,0,1,0.0,0,0.0,0,0,1
101817,Will the average Ethereum gas price be below 130 Gwei on March 20?,will-the-average-ethereum-gas-price-be-below-130-gwei-on-march-20,,2021-03-20T00:00:00Z,22745.071009,655.143559,True,True,"[""Yes"", ""No""]","[""0.0000001644404814478466051000105919571096"", ""0.999999835559518552153394899989408""]","[""40879164331452255926527374939140582347468641111491370635147846217039613599992"", ""114454509816591963308739626321218243028497501265388042931504118866664531953980""]",True,0,True,1,0,1,Yes,1.644404814478466e-05,No,99.99998355595186,,,1.644404814478466e-05,99.99998355595186,Yes: 0.00% | No: 100.00%,22745.07,22745.07,655.14,655.14,2021-03-20,2021-03-20,0.0,0,1.0,0.0,0,0.0,0,0.0,1.0,1.644404814478466e-05,99.99998355595186,Yes: 0.00% | No: 100.00%,22745.07,22745.07,655.14,655.14,2021-03-20,2021-03-20,0.0,0,1,0.0,0,0.0,0,0,1
107931,Will the average Ethereum gas price be below 150 Gwei on April 5?,will-the-average-ethereum-gas-price-be-below-150-gwei-on-april-5,,2021-04-05T00:00:00Z,53373.659518,998.002464,True,True,"[""Yes"", ""No""]","[""0.9999999179047647914328442465690246"", ""0.00000008209523520856715575343097538931713""]","[""72301399727378425743835563887354399122479075150068058073756669900323916617094"", ""84971733689833711962699567617476681237928362988123059639500981164685864586055""]",True,0,True,1,0,1,Yes,99.99999179047649,No,8.209523520856717e-06,,,99.99999179047649,8.209523520856717e-06,Yes: 100.00% | No: 0.00%,53373.66,53373.66,998.0,998,2021-04-05,2021-04-05,0.0,0,1.0,0.0,0,0.0,0,0.0,1.0,99.99999179047649,8.209523520856717e-06,Yes: 100.00% | No: 0.00%,53373.66,53373.66,998.0,998,2021-04-05,2021-04-05,0.0,0,1,0.0,0,0.0,0,0,1
